 $IN
 LR      =  0.000000000000000E+000,
 LI      =  0.432751599366305     ,
 FAL     =   1.00010000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   =  -2.00000000000000     ,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =      100000,
 IALMAX  =      100000,
 IW      =         100
 $END
 alpha                    wr                       wi                       funk                    
809
 -0.2271500430330465E+02   0.5143959095746604E-17   0.3157800485345011E+01  -0.3535048509430744E+02
 -0.2294328242099108E+02  -0.3265611441080844E-17   0.3175664490856103E+01  -0.3673666565523804E+02
 -0.2317385465662344E+02  -0.1491016989512437E-15   0.3193609369811999E+01  -0.3256234732577461E+02
 -0.2340674406531192E+02   0.1576642905652631E-16   0.3211635554136485E+01  -0.3494495530547714E+02
 -0.2364197393386273E+02  -0.1128971644970557E-14   0.3229743477938278E+01  -0.3445781051398512E+02
 -0.2387956778310662E+02  -0.8286712987056502E-17   0.3247933577521184E+01  -0.3604344393790202E+02
 -0.2411954937025076E+02   0.2965492269649403E-15   0.3266206291394123E+01  -0.3299852844028293E+02
 -0.2436194269125421E+02   0.3991997534442042E-14   0.3284562060281218E+01  -0.3242458947302143E+02
 -0.2460677198322731E+02   0.6332740902960350E-16   0.3303001327131844E+01  -0.3209240526739747E+02
 -0.2485406172685516E+02  -0.1579532987177508E-16   0.3321524537130983E+01  -0.3535032274133637E+02
 -0.2510383664884553E+02  -0.2844929962292528E-16   0.3340132137709387E+01  -0.3465721157618152E+02
 -0.2535612172440118E+02  -0.5977891655628521E-16   0.3358824578553986E+01  -0.3374096507004003E+02
 -0.2561094217971722E+02  -0.2208221513369555E-14   0.3377602311618034E+01  -0.3378320027449710E+02
 -0.2586832349450354E+02  -0.2132525701828552E-15   0.3396465791131879E+01  -0.3672102536801538E+02
 -0.2612829140453250E+02   0.4358724330081635E-14   0.3415415473613062E+01  -0.3318710111572610E+02
 -0.2639087190421223E+02   0.5205535348062476E-16   0.3434451817877076E+01  -0.3425168429905573E+02
 -0.2665609124918592E+02   0.2274583344876552E-16   0.3453575285047927E+01  -0.3443415835928095E+02
 -0.2692397595895710E+02  -0.2309718883752726E-16   0.3472786338573514E+01  -0.3494487900741807E+02
 -0.2719455281954130E+02   0.2159005011571899E-15   0.3492085444216582E+01  -0.3267620737237763E+02
 -0.2746784888614455E+02   0.1715184447860831E-21   0.3511473070095883E+01  -0.3433890529687873E+02
 -0.2774389148586847E+02   0.2836045838753241E-14   0.3530949686676398E+01  -0.3221570855227058E+02
 -0.2802270822044284E+02  -0.1675648117204619E-16   0.3550515766785101E+01  -0.3417183369039233E+02
 -0.2830432696898553E+02  -0.3723930134445025E-17   0.3570171785622279E+01  -0.3535049715118494E+02
 -0.2858877589079010E+02   0.2455360861594187E-16   0.3589918220772309E+01  -0.3535011619771695E+02
 -0.2887608342814149E+02  -0.4393611205870196E-17   0.3609755552214746E+01  -0.3604360387755176E+02
 -0.2916627830915999E+02   0.1399931213761589E-15   0.3629684262335481E+01  -0.3384581426761510E+02
 -0.2945938955067380E+02   0.3039853430073964E-14   0.3649704835937810E+01  -0.3387311302400337E+02
 -0.2975544646112046E+02   0.2226829853122569E-16   0.3669817760253764E+01  -0.3443416598760019E+02
 -0.3005447864347735E+02   0.4577580385670950E-16   0.3690023524955223E+01  -0.3364571530453460E+02
 -0.3035651599822184E+02  -0.2162075615393531E-14   0.3710322622165486E+01  -0.3410908056385817E+02
 -0.3066158872632093E+02   0.6629661130311680E-17   0.3730715546470427E+01  -0.3604354672446111E+02
 -0.3096972733225116E+02  -0.2298170338476297E-16   0.3751202794930153E+01  -0.3396419200246727E+02
 -0.3128096262704880E+02   0.4453069593814681E-14   0.3771784867090480E+01  -0.3208456736391599E+02
 -0.3159532573139050E+02  -0.2502372851102158E-16   0.3792462264994368E+01  -0.3512712619120088E+02
 -0.3191284807870530E+02   0.4799821822013521E-16   0.3813235493193796E+01  -0.3465702235060173E+02
 -0.3223356141831757E+02  -0.4922270004939432E-16   0.3834105058761375E+01  -0.3465700822094227E+02
 -0.3255749781862162E+02  -0.1112494066559069E-13   0.3855071471301963E+01  -0.3254332868272027E+02
